arquivo,tipo,classe,nome,rank_cc,complexity,linha_ini,linha_fim
imbens/ensemble/_reweighting/adauboost.py,method,AdaUBoostClassifier,__init__,A,1,153,172
imbens/ensemble/_reweighting/adauboost.py,method,AdaUBoostClassifier,_set_class_weights,A,1,251,268
imbens/ensemble/_reweighting/adauboost.py,method,AdaUBoostClassifier,_preprocess_sample_weight,A,1,272,284
imbens/ensemble/_reweighting/adauboost.py,method,AdaUBoostClassifier,fit,A,1,292,353
imbens/ensemble/_reweighting/asymmetric_boost.py,method,AsymBoostClassifier,__init__,A,1,142,163
imbens/ensemble/_reweighting/asymmetric_boost.py,method,AsymBoostClassifier,_compute_mult_out_exp_weights_array,A,1,165,179
imbens/ensemble/_reweighting/asymmetric_boost.py,method,AsymBoostClassifier,_validate_cost_matrix,A,1,208,216
imbens/ensemble/_reweighting/tests/test_adacost.py,function,,imbalanced_dataset,A,1,22,33
imbens/ensemble/_reweighting/tests/test_adacost.py,function,,test_sample_weight,A,1,77,107
imbens/ensemble/_reweighting/tests/test_adauboost.py,function,,imbalanced_dataset,A,1,24,35
imbens/ensemble/_reweighting/tests/test_adauboost.py,function,,test_sample_weight,A,1,79,109
imbens/ensemble/_reweighting/tests/test_asymmetric_boost.py,function,,imbalanced_dataset,A,1,22,33
imbens/ensemble/_reweighting/tests/test_asymmetric_boost.py,function,,test_sample_weight,A,1,77,107
imbens/ensemble/_under_sampling/balanced_random_forest.py,method,BalancedRandomForestClassifier,__init__,A,1,327,378
imbens/ensemble/_under_sampling/balanced_random_forest.py,method,BalancedRandomForestClassifier,_more_tags,A,1,740,741
imbens/ensemble/_under_sampling/balanced_random_forest.py,method,BalancedRandomForestClassifier,__sklearn_tags__,A,1,743,746
imbens/ensemble/_under_sampling/balanced_random_forest.py,method,BalancedRandomForestClassifier,predict_log_proba,A,1,749,750
imbens/ensemble/_under_sampling/balanced_random_forest.py,method,BalancedRandomForestClassifier,predict_proba,A,1,753,754
imbens/ensemble/_under_sampling/balance_cascade.py,method,BalanceCascadeClassifier,__init__,A,1,160,187
imbens/ensemble/_under_sampling/balance_cascade.py,method,BalanceCascadeClassifier,fit,A,1,198,231
imbens/ensemble/_under_sampling/easy_ensemble.py,method,EasyEnsembleClassifier,fit,A,1,245,292
imbens/ensemble/_under_sampling/rus_boost.py,method,RUSBoostClassifier,__init__,A,1,155,185
imbens/ensemble/_under_sampling/rus_boost.py,method,RUSBoostClassifier,fit,A,1,196,254
imbens/ensemble/_under_sampling/self_paced_ensemble.py,method,SelfPacedEnsembleClassifier,__init__,A,1,171,202
imbens/ensemble/_under_sampling/self_paced_ensemble.py,method,SelfPacedEnsembleClassifier,fit,A,1,213,245
imbens/ensemble/_under_sampling/under_bagging.py,method,UnderBaggingClassifier,__init__,A,1,187,227
imbens/ensemble/_under_sampling/under_bagging.py,method,UnderBaggingClassifier,fit,A,1,235,284
imbens/ensemble/_under_sampling/tests/test_balanced_random_forest.py,function,,imbalanced_dataset,A,1,21,32
imbens/ensemble/_under_sampling/tests/test_balanced_random_forest.py,function,,test_balanced_random_forest_error_warning_warm_start,A,1,36,48
imbens/ensemble/_under_sampling/tests/test_balanced_random_forest.py,function,,test_balanced_random_forest_sample_weight,A,1,85,90
imbens/ensemble/_under_sampling/tests/test_balanced_random_forest.py,function,,test_balanced_random_forest_grid_search,A,1,119,122
imbens/ensemble/_under_sampling/tests/test_balance_cascade.py,function,,test_fit_target_label_target_samples_error,A,1,243,250
imbens/ensemble/_under_sampling/tests/test_easy_ensemble.py,function,,test_probability,A,1,147,171
imbens/ensemble/_under_sampling/tests/test_easy_ensemble.py,function,,test_single_estimator,A,1,216,240
imbens/ensemble/_under_sampling/tests/test_easy_ensemble.py,function,,test_gridsearch,A,1,243,258
imbens/ensemble/_under_sampling/tests/test_easy_ensemble.py,function,,test_bagging_with_pipeline,A,1,292,304
imbens/ensemble/_under_sampling/tests/test_easy_ensemble.py,function,,test_warm_start_smaller_n_estimators,A,1,335,342
imbens/ensemble/_under_sampling/tests/test_easy_ensemble.py,function,,test_warm_start_equal_n_estimators,A,1,345,360
imbens/ensemble/_under_sampling/tests/test_easy_ensemble.py,function,,test_warm_start_equivalence,A,1,363,379
imbens/ensemble/_under_sampling/tests/test_easy_ensemble.py,function,,test_warm_start_with_oob_score_fails,A,1,382,387
imbens/ensemble/_under_sampling/tests/test_easy_ensemble.py,function,,test_oob_score_removed_on_warm_start,A,1,390,400
imbens/ensemble/_under_sampling/tests/test_rus_boost.py,function,,imbalanced_dataset,A,1,22,33
imbens/ensemble/_under_sampling/tests/test_rus_boost.py,function,,test_rusboost_sample_weight,A,1,82,98
imbens/ensemble/_under_sampling/tests/test_self_paced_ensemble.py,function,,test_fit_target_label_target_samples_error,A,1,198,205
imbens/ensemble/_under_sampling/tests/test_under_bagging.py,function,,test_probability,A,1,133,156
imbens/ensemble/_under_sampling/tests/test_under_bagging.py,function,,test_single_estimator,A,1,200,223
imbens/ensemble/_under_sampling/tests/test_under_bagging.py,function,,test_gridsearch,A,1,226,240
imbens/ensemble/_under_sampling/tests/test_under_bagging.py,function,,test_bagging_with_pipeline,A,1,272,283
imbens/ensemble/_under_sampling/tests/test_under_bagging.py,function,,test_warm_start_smaller_n_estimators,A,1,314,321
imbens/ensemble/_under_sampling/tests/test_under_bagging.py,function,,test_warm_start_equal_n_estimators,A,1,324,339
imbens/ensemble/_under_sampling/tests/test_under_bagging.py,function,,test_warm_start_equivalence,A,1,342,358
imbens/ensemble/_under_sampling/tests/test_under_bagging.py,function,,test_warm_start_with_oob_score_fails,A,1,361,366
imbens/ensemble/_under_sampling/tests/test_under_bagging.py,function,,test_oob_score_removed_on_warm_start,A,1,369,379
imbens/metrics/pairwise.py,method,ValueDifferenceMetric,__init__,A,1,102,105
imbens/metrics/_classification.py,function,,sensitivity_score,A,1,290,387
imbens/metrics/_classification.py,function,,specificity_score,A,1,391,488
imbens/metrics/_classification.py,function,,make_index_balanced_accuracy,A,1,676,778
imbens/metrics/_classification.py,function,,decorate,A,1,726,776
imbens/metrics/tests/test_classification.py,function,,test_sensitivity_specificity_extra_labels,A,1,135,140
imbens/metrics/tests/test_classification.py,function,,test_sensitivity_specificity_error_multilabels,A,1,164,171
imbens/metrics/tests/test_classification.py,function,,test_sensitivity_specificity_support_errors,A,1,174,183
imbens/metrics/tests/test_classification.py,function,,test_sensitivity_specificity_unused_pos_label,A,1,186,192
imbens/metrics/tests/test_classification.py,function,,test_geometric_mean_support_binary,A,1,196,202
imbens/metrics/tests/test_classification.py,function,,test_iba_geo_mean_binary,A,1,293,301
imbens/metrics/tests/test_classification.py,function,,_format_report,A,1,304,305
imbens/metrics/tests/test_classification.py,function,,test_iba_error_y_score_prob_error,A,1,454,459
imbens/metrics/tests/test_pairwise.py,function,,data,A,1,16,27
imbens/metrics/tests/test_pairwise.py,function,,test_value_difference_metric_categories_error,A,1,128,140
imbens/metrics/tests/test_pairwise.py,function,,test_value_difference_value_unfitted,A,1,163,172
imbens/metrics/tests/test_score_objects.py,function,,data,A,1,23,25
imbens/sampler/base.py,function,,_identity,A,1,199,200
imbens/sampler/base.py,method,SamplerMixin,fit,A,1,50,73
imbens/sampler/base.py,method,SamplerMixin,_fit_resample,A,1,147,169
imbens/sampler/base.py,method,BaseSampler,__init__,A,1,179,180
imbens/sampler/base.py,method,BaseSampler,_more_tags,A,1,189,190
imbens/sampler/base.py,method,BaseSampler,__sklearn_tags__,A,1,192,196
imbens/sampler/base.py,method,FunctionSampler,__init__,A,1,269,274
imbens/sampler/tests/test_base_sampler.py,function,,dummy_sampling_func,A,1,121,122
imbens/sampler/_over_sampling/_adasyn.py,method,ADASYN,__init__,A,1,103,114
imbens/sampler/_over_sampling/_adasyn.py,method,ADASYN,_validate_estimator,A,1,116,121
imbens/sampler/_over_sampling/_adasyn.py,method,ADASYN,_more_tags,A,1,206,209
imbens/sampler/_over_sampling/_adasyn.py,method,ADASYN,__sklearn_tags__,A,1,212,216
imbens/sampler/_over_sampling/_random_over_sampler.py,method,RandomOverSampler,__init__,A,1,132,141
imbens/sampler/_over_sampling/_random_over_sampler.py,method,RandomOverSampler,_check_X_y,A,1,143,154
imbens/sampler/_over_sampling/_random_over_sampler.py,method,RandomOverSampler,_more_tags,A,1,276,280
imbens/sampler/_over_sampling/_random_over_sampler.py,method,RandomOverSampler,__sklearn_tags__,A,1,283,288
imbens/sampler/_over_sampling/tests/test_adasyn.py,function,,test_ada_fit_resample,A,1,50,85
imbens/sampler/_over_sampling/tests/test_adasyn.py,function,,test_ada_fit_resample_nn_obj,A,1,88,124
imbens/sampler/_over_sampling/tests/test_adasyn.py,function,,test_adasyn_error,A,1,134,137
imbens/sampler/_over_sampling/tests/test_random_over_sampler.py,function,,data,A,1,20,36
imbens/sampler/_over_sampling/tests/test_random_over_sampler.py,function,,test_random_over_sampling_heterogeneous_data_smoothed_bootstrap,A,1,174,184
imbens/sampler/_over_sampling/tests/test_random_over_sampler.py,function,,test_random_over_sampler_shrinkage_error,A,1,249,254
imbens/sampler/_over_sampling/_smote/base.py,method,BaseSMOTE,__init__,A,1,43,53
imbens/sampler/_over_sampling/_smote/base.py,method,BaseSMOTE,_validate_estimator,A,1,55,60
imbens/sampler/_over_sampling/_smote/base.py,method,BaseSMOTE,_make_samples,A,1,63,112
imbens/sampler/_over_sampling/_smote/base.py,method,SMOTE,__init__,A,1,283,295
imbens/sampler/_over_sampling/_smote/cluster.py,method,KMeansSMOTE,__init__,A,1,142,161
imbens/sampler/_over_sampling/_smote/filter.py,method,BorderlineSMOTE,__init__,A,1,127,144
imbens/sampler/_over_sampling/_smote/filter.py,method,SVMSMOTE,__init__,A,1,332,351
imbens/sampler/_over_sampling/_smote/tests/test_borderline_smote.py,function,,data,A,1,12,38
imbens/sampler/_over_sampling/_smote/tests/test_borderline_smote.py,function,,test_borderline_smote_wrong_kind,A,1,41,44
imbens/sampler/_over_sampling/_smote/tests/test_borderline_smote.py,function,,test_borderline_smote,A,1,48,61
imbens/sampler/_over_sampling/_smote/tests/test_kmeans_smote.py,function,,data,A,1,16,42
imbens/sampler/_over_sampling/_smote/tests/test_kmeans_smote.py,function,,test_sample_kmeans_not_enough_clusters,A,1,90,97
imbens/sampler/_over_sampling/_smote/tests/test_kmeans_smote.py,function,,test_sample_kmeans_density_estimation,A,1,102,111
imbens/sampler/_over_sampling/_smote/tests/test_kmeans_smote.py,function,,test_kmeans_smote_param_error,A,1,118,125
imbens/sampler/_over_sampling/_smote/tests/test_smote.py,function,,test_sample_regular,A,1,47,82
imbens/sampler/_over_sampling/_smote/tests/test_smote.py,function,,test_sample_regular_half,A,1,85,116
